"","IterYear","AgeInYears","cohortsize"
"1",1951,0,1580855.34722191
"2",1951,1,1265781.08688267
"3",1951,2,1265787.15167505
"4",1951,3,1265787.15166757
"5",1951,4,1265787.15166534
"6",1951,5,1161880.9384863
"7",1951,6,1016349.7946984
"8",1951,7,1016349.79468115
"9",1951,8,1016349.79466389
"10",1951,9,1016349.79464664
"11",1951,10,958447.928400183
"12",1951,11,877371.639584484
"13",1951,12,877371.639832184
"14",1951,13,877371.639795613
"15",1951,14,877371.639759043
"16",1951,15,829176.201662364
"17",1951,16,761710.457497113
"18",1951,17,761710.457439451
"19",1951,18,761710.457381788
"20",1951,19,761710.457324125
"21",1951,20,720224.824054747
"22",1951,21,662148.336718334
"23",1951,22,662148.336638192
"24",1951,23,662148.33655805
"25",1951,24,662148.336477908
"26",1951,25,625738.030737423
"27",1951,26,574763.602742609
"28",1951,27,574763.602676314
"29",1951,28,574763.602610019
"30",1951,29,574763.602543724
"31",1951,30,540593.157080374
"32",1951,31,492754.533501979
"33",1951,32,492754.533501979
"34",1951,33,492754.533501979
"35",1951,34,492754.533501979
"36",1951,35,458838.796528126
"37",1951,36,411358.974615147
"38",1951,37,411358.974615147
"39",1951,38,411358.974615147
"40",1951,39,411358.974615147
"41",1951,40,385537.242996741
"42",1951,41,349388.663548043
"43",1951,42,349388.663548043
"44",1951,43,349388.663548043
"45",1951,44,349388.663548043
"46",1951,45,327088.885655954
"47",1951,46,295869.19660703
"48",1951,47,295869.19660703
"49",1951,48,295869.19660703
"50",1951,49,295869.19660703
"51",1951,50,282350.221303579
"52",1951,51,263427.636508112
"53",1951,52,263427.636508112
"54",1951,53,263427.636508112
"55",1951,54,263427.636508112
"56",1951,55,243020.979807276
"57",1951,56,214455.204588188
"58",1951,57,214455.204588188
"59",1951,58,214455.204588188
"60",1951,59,214455.204588188
"61",1951,60,191904.943891001
"62",1951,61,160342.272940258
"63",1951,62,160342.272940258
"64",1951,63,160342.272940258
"65",1951,64,160342.272940258
"66",1951,65,139444.681332127
"67",1951,66,110194.524766249
"68",1951,67,110194.524766249
"69",1951,68,110194.524766249
"70",1951,69,110194.524766249
"71",1951,70,92318.9749475331
"72",1951,71,67300.6178572712
"73",1951,72,67300.6178572712
"74",1951,73,67300.6178572712
"75",1951,74,67300.6178572712
