,run_id,region,rc,rd,ld,hd,lc,hc,foii,wh1,wh2,wh3,wh4,wl1,wl2,wl3,wl4,dd1,dd2,dr1,dr2,bd1,bd2,bd3,bd4,bd5,bd6,bd7,br,wv1,wv2,wv3,wv4,cfr1,cfr2,cfr3,cfr4,cfr5,cfr6,ve
1,1,hyper,0.205966382,0.743966588,0.889351751,0.990894657,0.154834545,0.878733702,8.00E-01,0.005412768,0.004989548,0.009658535,0.001697751,0.00315496,0.000725632,0.000648779,0.000153866,0.001859243,-1.01E-07,0.001920373,-1.09E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.135,0.090909091,0.088181818,0.086363636,0.087272727,0.125757576,0.896
2,2,hyper,0.218308905,0.764587484,0.923229298,0.910642212,0.193814793,0.842287509,8.00E-01,0.008680342,0.005302169,0.008838709,0.001717933,0.002893961,0.000752375,0.000559318,0.000497624,0.001904054,-9.97E-08,0.001942046,-1.06E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.13,0.088636364,0.079090909,0.090909091,0.090909091,0.115,0.874
3,3,hyper,0.209157791,0.760725072,0.843385049,0.983636023,0.250946496,0.807886148,8.00E-01,0.013896456,0.004658836,0.007896878,0.000798475,0.002575028,0.000734311,0.000590923,0.000191888,0.001946354,-1.08E-07,0.001912768,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.105,0.098863636,0.097272727,0.097272727,0.069090909,0.125757576,0.884
4,4,hyper,0.194174925,0.671855106,0.948837265,0.985059661,0.151285381,0.853519613,8.00E-01,0.00541255,0.004433034,0.006090973,0.001812228,0.003589474,0.000698541,0.00076871,0.00047914,0.001932225,-1.08E-07,0.001903349,-9.46E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.125,0.096590909,0.098181818,0.073636364,0.085454545,0.118787879,0.89
5,5,hyper,0.203289361,0.748748568,0.919684739,0.908073314,0.251609021,0.894961679,8.00E-01,0.017780151,0.009908962,0.006268846,0.001896528,0.002689114,0.000950335,0.000930308,0.000399753,0.001901992,-9.26E-08,0.001873558,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.08,0.092045455,0.091818182,0.09,0.091818182,0.119393939,0.916
6,6,hyper,0.210443182,0.690733802,0.920936385,0.999996457,0.168823237,0.836733485,8.00E-01,0.009689787,0.002812602,0.008512455,0.001511031,0.003635118,0.000691455,0.000692142,0.000415694,0.001886763,-1.04E-07,0.001930783,-1.01E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.08,0.0875,0.085454545,0.089090909,0.083636364,0.125454545,0.886
7,7,hyper,0.203389459,0.712179346,0.949609465,0.998445004,0.235863069,0.887724125,8.00E-01,0.018210931,0.004256476,0.008766511,0.001464243,0.00348022,0.000897124,0.000586299,0.000437217,0.001937294,-1.08E-07,0.001949528,-1.02E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.135,0.110227273,0.09,0.08,0.079090909,0.118939394,0.898
8,8,hyper,0.208815672,0.768525672,0.687236432,0.904886531,0.191025398,0.837524969,8.00E-01,0.009087342,0.007806827,0.002714283,0.001885309,0.003624694,0.000942526,0.000875419,0.000354816,0.001906417,-9.52E-08,0.001854581,-1.03E-07,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.065,0.094318182,0.087272727,0.095454545,0.08,0.122272727,0.902
9,9,hyper,0.205045705,0.727108978,0.89636362,0.997538751,0.153684612,0.785743875,8.00E-01,0.010800015,0.004505826,0.005822141,0.000986606,0.002450214,0.000867791,0.000694328,0.000578419,0.001864195,-9.93E-08,0.001948475,-9.14E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.09,0.090909091,0.099090909,0.090909091,0.086363636,0.122727273,0.92
10,10,hyper,0.214730604,0.74979963,0.772146697,0.954195123,0.199461588,0.837281146,8.00E-01,0.005426562,0.002983665,0.002712733,0.001696886,0.00202709,0.00067802,0.000719063,0.000421223,0.001949399,-1.01E-07,0.001903438,-9.40E-08,0,0,0,0,0,0,0,0,0,0.001322422,0.001322422,0.001322422,0.12,0.072727273,0.09,0.075454545,0.064545455,0.12,0.896
